0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"00, 00, 000","00, 01, 000","00, 02, 000","00, 03, 000","00, 04, 000","00, 05, 000","00, 06, 000","00, 07, 000","00, 08, 000","00, 09, 000","00, 10, 000","00, 11, 000","00, 12, 000","00, 13, 000","00, 14, 000","00, 15, 000","00, 16, 000","00, 17, 000","00, 18, 000","00, 19, 000"
"00, 00, 001","00, 01, 001","00, 02, 001","00, 03, 001","00, 04, 001","00, 05, 001","00, 06, 001","00, 07, 001","00, 08, 001","00, 09, 001","00, 10, 001","00, 11, 001","00, 12, 001","00, 13, 001","00, 14, 001","00, 15, 001","00, 16, 001","00, 17, 001","00, 18, 001","00, 19, 001"
"00, 00, 002","00, 01, 002","00, 02, 002","00, 03, 002","00, 04, 002","00, 05, 002","00, 06, 002","00, 07, 002","00, 08, 002","00, 09, 002","00, 10, 002","00, 11, 002","00, 12, 002","00, 13, 002","00, 14, 002","00, 15, 002","00, 16, 002","00, 17, 002","00, 18, 002","00, 19, 002"
"00, 00, 003","00, 01, 003","00, 02, 003","00, 03, 003","00, 04, 003","00, 05, 003","00, 06, 003","00, 07, 003","00, 08, 003","00, 09, 003","00, 10, 003","00, 11, 003","00, 12, 003","00, 13, 003","00, 14, 003","00, 15, 003","00, 16, 003","00, 17, 003","00, 18, 003","00, 19, 003"
"00, 00, 004","00, 01, 004","00, 02, 004","00, 03, 004","00, 04, 004","00, 05, 004","00, 06, 004","00, 07, 004","00, 08, 004","00, 09, 004","00, 10, 004","00, 11, 004","00, 12, 004","00, 13, 004","00, 14, 004","00, 15, 004","00, 16, 004","00, 17, 004","00, 18, 004","00, 19, 004"
"00, 00, 005","00, 01, 005","00, 02, 005","00, 03, 005","00, 04, 005","00, 05, 005","00, 06, 005","00, 07, 005","00, 08, 005","00, 09, 005","00, 10, 005","00, 11, 005","00, 12, 005","00, 13, 005","00, 14, 005","00, 15, 005","00, 16, 005","00, 17, 005","00, 18, 005","00, 19, 005"
"00, 00, 006","00, 01, 006","00, 02, 006","00, 03, 006","00, 04, 006","00, 05, 006","00, 06, 006","00, 07, 006","00, 08, 006","00, 09, 006","00, 10, 006","00, 11, 006","00, 12, 006","00, 13, 006","00, 14, 006","00, 15, 006","00, 16, 006","00, 17, 006","00, 18, 006","00, 19, 006"
"00, 00, 007","00, 01, 007","00, 02, 007","00, 03, 007","00, 04, 007","00, 05, 007","00, 06, 007","00, 07, 007","00, 08, 007","00, 09, 007","00, 10, 007","00, 11, 007","00, 12, 007","00, 13, 007","00, 14, 007","00, 15, 007","00, 16, 007","00, 17, 007","00, 18, 007","00, 19, 007"
"00, 00, 008","00, 01, 008","00, 02, 008","00, 03, 008","00, 04, 008","00, 05, 008","00, 06, 008","00, 07, 008","00, 08, 008","00, 09, 008","00, 10, 008","00, 11, 008","00, 12, 008","00, 13, 008","00, 14, 008","00, 15, 008","00, 16, 008","00, 17, 008","00, 18, 008","00, 19, 008"
"00, 00, 009","00, 01, 009","00, 02, 009","00, 03, 009","00, 04, 009","00, 05, 009","00, 06, 009","00, 07, 009","00, 08, 009","00, 09, 009","00, 10, 009","00, 11, 009","00, 12, 009","00, 13, 009","00, 14, 009","00, 15, 009","00, 16, 009","00, 17, 009","00, 18, 009","00, 19, 009"
"00, 00, 010","00, 01, 010","00, 02, 010","00, 03, 010","00, 04, 010","00, 05, 010","00, 06, 010","00, 07, 010","00, 08, 010","00, 09, 010","00, 10, 010","00, 11, 010","00, 12, 010","00, 13, 010","00, 14, 010","00, 15, 010","00, 16, 010","00, 17, 010","00, 18, 010","00, 19, 010"
"00, 00, 011","00, 01, 011","00, 02, 011","00, 03, 011","00, 04, 011","00, 05, 011","00, 06, 011","00, 07, 011","00, 08, 011","00, 09, 011","00, 10, 011","00, 11, 011","00, 12, 011","00, 13, 011","00, 14, 011","00, 15, 011","00, 16, 011","00, 17, 011","00, 18, 011","00, 19, 011"
"00, 00, 012","00, 01, 012","00, 02, 012","00, 03, 012","00, 04, 012","00, 05, 012","00, 06, 012","00, 07, 012","00, 08, 012","00, 09, 012","00, 10, 012","00, 11, 012","00, 12, 012","00, 13, 012","00, 14, 012","00, 15, 012","00, 16, 012","00, 17, 012","00, 18, 012","00, 19, 012"
"00, 00, 013","00, 01, 013","00, 02, 013","00, 03, 013","00, 04, 013","00, 05, 013","00, 06, 013","00, 07, 013","00, 08, 013","00, 09, 013","00, 10, 013","00, 11, 013","00, 12, 013","00, 13, 013","00, 14, 013","00, 15, 013","00, 16, 013","00, 17, 013","00, 18, 013","00, 19, 013"
"00, 00, 014","00, 01, 014","00, 02, 014","00, 03, 014","00, 04, 014","00, 05, 014","00, 06, 014","00, 07, 014","00, 08, 014","00, 09, 014","00, 10, 014","00, 11, 014","00, 12, 014","00, 13, 014","00, 14, 014","00, 15, 014","00, 16, 014","00, 17, 014","00, 18, 014","00, 19, 014"
"00, 00, 015","00, 01, 015","00, 02, 015","00, 03, 015","00, 04, 015","00, 05, 015","00, 06, 015","00, 07, 015","00, 08, 015","00, 09, 015","00, 10, 015","00, 11, 015","00, 12, 015","00, 13, 015","00, 14, 015","00, 15, 015","00, 16, 015","00, 17, 015","00, 18, 015","00, 19, 015"
"00, 00, 016","00, 01, 016","00, 02, 016","00, 03, 016","00, 04, 016","00, 05, 016","00, 06, 016","00, 07, 016","00, 08, 016","00, 09, 016","00, 10, 016","00, 11, 016","00, 12, 016","00, 13, 016","00, 14, 016","00, 15, 016","00, 16, 016","00, 17, 016","00, 18, 016","00, 19, 016"
"00, 00, 017","00, 01, 017","00, 02, 017","00, 03, 017","00, 04, 017","00, 05, 017","00, 06, 017","00, 07, 017","00, 08, 017","00, 09, 017","00, 10, 017","00, 11, 017","00, 12, 017","00, 13, 017","00, 14, 017","00, 15, 017","00, 16, 017","00, 17, 017","00, 18, 017","00, 19, 017"
"00, 00, 018","00, 01, 018","00, 02, 018","00, 03, 018","00, 04, 018","00, 05, 018","00, 06, 018","00, 07, 018","00, 08, 018","00, 09, 018","00, 10, 018","00, 11, 018","00, 12, 018","00, 13, 018","00, 14, 018","00, 15, 018","00, 16, 018","00, 17, 018","00, 18, 018","00, 19, 018"
"00, 00, 019","00, 01, 019","00, 02, 019","00, 03, 019","00, 04, 019","00, 05, 019","00, 06, 019","00, 07, 019","00, 08, 019","00, 09, 019","00, 10, 019","00, 11, 019","00, 12, 019","00, 13, 019","00, 14, 019","00, 15, 019","00, 16, 019","00, 17, 019","00, 18, 019","00, 19, 019"
"00, 00, 020","00, 01, 020","00, 02, 020","00, 03, 020","00, 04, 020","00, 05, 020","00, 06, 020","00, 07, 020","00, 08, 020","00, 09, 020","00, 10, 020","00, 11, 020","00, 12, 020","00, 13, 020","00, 14, 020","00, 15, 020","00, 16, 020","00, 17, 020","00, 18, 020","00, 19, 020"
"00, 00, 021","00, 01, 021","00, 02, 021","00, 03, 021","00, 04, 021","00, 05, 021","00, 06, 021","00, 07, 021","00, 08, 021","00, 09, 021","00, 10, 021","00, 11, 021","00, 12, 021","00, 13, 021","00, 14, 021","00, 15, 021","00, 16, 021","00, 17, 021","00, 18, 021","00, 19, 021"
"00, 00, 022","00, 01, 022","00, 02, 022","00, 03, 022","00, 04, 022","00, 05, 022","00, 06, 022","00, 07, 022","00, 08, 022","00, 09, 022","00, 10, 022","00, 11, 022","00, 12, 022","00, 13, 022","00, 14, 022","00, 15, 022","00, 16, 022","00, 17, 022","00, 18, 022","00, 19, 022"
"00, 00, 023","00, 01, 023","00, 02, 023","00, 03, 023","00, 04, 023","00, 05, 023","00, 06, 023","00, 07, 023","00, 08, 023","00, 09, 023","00, 10, 023","00, 11, 023","00, 12, 023","00, 13, 023","00, 14, 023","00, 15, 023","00, 16, 023","00, 17, 023","00, 18, 023","00, 19, 023"
"00, 00, 024","00, 01, 024","00, 02, 024","00, 03, 024","00, 04, 024","00, 05, 024","00, 06, 024","00, 07, 024","00, 08, 024","00, 09, 024","00, 10, 024","00, 11, 024","00, 12, 024","00, 13, 024","00, 14, 024","00, 15, 024","00, 16, 024","00, 17, 024","00, 18, 024","00, 19, 024"
"00, 00, 025","00, 01, 025","00, 02, 025","00, 03, 025","00, 04, 025","00, 05, 025","00, 06, 025","00, 07, 025","00, 08, 025","00, 09, 025","00, 10, 025","00, 11, 025","00, 12, 025","00, 13, 025","00, 14, 025","00, 15, 025","00, 16, 025","00, 17, 025","00, 18, 025","00, 19, 025"
"00, 00, 026","00, 01, 026","00, 02, 026","00, 03, 026","00, 04, 026","00, 05, 026","00, 06, 026","00, 07, 026","00, 08, 026","00, 09, 026","00, 10, 026","00, 11, 026","00, 12, 026","00, 13, 026","00, 14, 026","00, 15, 026","00, 16, 026","00, 17, 026","00, 18, 026","00, 19, 026"
"00, 00, 027","00, 01, 027","00, 02, 027","00, 03, 027","00, 04, 027","00, 05, 027","00, 06, 027","00, 07, 027","00, 08, 027","00, 09, 027","00, 10, 027","00, 11, 027","00, 12, 027","00, 13, 027","00, 14, 027","00, 15, 027","00, 16, 027","00, 17, 027","00, 18, 027","00, 19, 027"
"00, 00, 028","00, 01, 028","00, 02, 028","00, 03, 028","00, 04, 028","00, 05, 028","00, 06, 028","00, 07, 028","00, 08, 028","00, 09, 028","00, 10, 028","00, 11, 028","00, 12, 028","00, 13, 028","00, 14, 028","00, 15, 028","00, 16, 028","00, 17, 028","00, 18, 028","00, 19, 028"
"00, 00, 029","00, 01, 029","00, 02, 029","00, 03, 029","00, 04, 029","00, 05, 029","00, 06, 029","00, 07, 029","00, 08, 029","00, 09, 029","00, 10, 029","00, 11, 029","00, 12, 029","00, 13, 029","00, 14, 029","00, 15, 029","00, 16, 029","00, 17, 029","00, 18, 029","00, 19, 029"
"00, 00, 030","00, 01, 030","00, 02, 030","00, 03, 030","00, 04, 030","00, 05, 030","00, 06, 030","00, 07, 030","00, 08, 030","00, 09, 030","00, 10, 030","00, 11, 030","00, 12, 030","00, 13, 030","00, 14, 030","00, 15, 030","00, 16, 030","00, 17, 030","00, 18, 030","00, 19, 030"
"00, 00, 031","00, 01, 031","00, 02, 031","00, 03, 031","00, 04, 031","00, 05, 031","00, 06, 031","00, 07, 031","00, 08, 031","00, 09, 031","00, 10, 031","00, 11, 031","00, 12, 031","00, 13, 031","00, 14, 031","00, 15, 031","00, 16, 031","00, 17, 031","00, 18, 031","00, 19, 031"
