noise_std,subtract_max,scale_max,shift_max,seed,participant,epoch,train_loss,train_acc,val_loss,val_acc
0.001,0.001,0.001,0,42,0,1,0.8245772144085244,0.6145393811533052,1.0713871822632386,0.5765521398432791
0.001,0.001,0.001,0,42,0,2,0.6167307178661458,0.6826213080168776,1.4760987489535335,0.5004520795660036
0.001,0.001,0.001,0,42,0,3,0.5397214503165035,0.7015207454289732,1.636544929432215,0.44695599758890897
0.001,0.001,0.001,0,42,0,4,0.5072351167326906,0.7097398030942335,1.5523969739958454,0.5292344786015672
0.001,0.001,0.001,0,42,0,5,0.4898961403953375,0.7132120253164557,1.8509165399784762,0.5524412296564195
0.001,0.001,0.001,0,42,0,6,0.47294600126654457,0.7147503516174403,1.9845404046081847,0.4413803496081977
0.001,0.001,0.001,0,42,0,7,0.46322936455702146,0.7204201828410689,1.8029559218431943,0.5393309222423146
0.001,0.001,0.001,0,42,0,8,0.44382982270375587,0.7191455696202531,2.05326465439153,0.5333031946955997
0.001,0.001,0.001,0,42,0,9,0.44419271147871486,0.7203762306610408,2.063972091390131,0.46187462326702833
0.001,0.001,0.001,0,42,0,10,0.4376965141298483,0.7208597046413502,2.01553419327241,0.5316455696202531
0.001,0.001,0.001,0,42,0,11,0.4327998581524472,0.723145218002813,2.0246402346401355,0.5503315250150693
0.001,0.001,0.001,0,42,0,12,0.4297263820075368,0.728243670886076,2.1059430805427897,0.47272453285111515
0.001,0.001,0.001,0,42,0,13,0.4234938006612319,0.7240242616033755,2.1876460058407465,0.5323990355635925
0.001,0.001,0.001,0,42,0,14,0.4272719625771339,0.7230133614627285,2.1044700169338517,0.452833031946956
0.001,0.001,0.001,0,42,0,15,0.4234424154320011,0.7250351617440225,2.356455190191854,0.5346594333936107
0.001,0.001,0.001,0,42,0,16,0.41944671066480516,0.7253867791842475,2.257554819752957,0.4513261000602773
0.001,0.001,0.001,0,42,0,17,0.4186703952346338,0.7246395921237694,2.367390990961439,0.5221518987341772
0.001,0.001,0.001,0,42,0,18,0.41778446676316977,0.7221782700421941,2.178793098112302,0.5278782399035563
