noise_std,subtract_max,scale_max,shift_max,mean_test_acc
0.001,0.001,0.001,0,0.5984836378291527
0.001,0.001,0.001,1,0.6194102748695556
0.001,0.001,0.01,0,0.6284058505252258
0.001,0.001,0.01,1,0.6323044625022141
0.001,0.01,0.001,0,0.635256254441698
0.001,0.01,0.001,1,0.5852012580840421
0.001,0.01,0.01,0,0.6110433093309064
0.001,0.01,0.01,1,0.6138739946151262
0.01,0.001,0.001,0,0.6507565427163048
0.01,0.001,0.001,1,0.6354007802806587
0.01,0.001,0.01,0,0.5880751604584831
0.01,0.001,0.01,1,0.6394175577689265
0.01,0.01,0.001,0,0.6059399266107214
0.01,0.01,0.001,1,0.6135892629014169
0.01,0.01,0.01,0,0.5945895680525031
0.01,0.01,0.01,1,0.6179540167495018
