seed,test_idx,hbr_multiplier,hbr_shift,window_length,add_hbr,accuracy
42,0,1,0,15,True,0.6246279761904762
42,0,1,0,15,False,0.6382688492063492
42,0,1,0,20,True,0.6453427524856097
42,0,1,0,20,False,0.609105180533752
42,0,1,0,30,True,0.6491769547325102
42,0,1,0,30,False,0.6455026455026455
42,0,1,1,15,True,0.6231398809523809
42,0,1,1,15,False,0.6424851190476191
42,0,1,1,20,True,0.6323914181057039
42,0,1,1,20,False,0.6317373103087389
42,0,1,1,30,True,0.6238977072310405
42,0,1,1,30,False,0.6847442680776014
42,0,1,2,15,True,0.5987103174603174
42,0,1,2,15,False,0.5319940476190477
42,0,1,2,20,True,0.5706436420722135
42,0,1,2,20,False,0.5994243851386708
42,0,1,2,30,True,0.6428571428571429
42,0,1,2,30,False,0.605379188712522
42,0,1,3,15,True,0.6010664682539683
42,0,1,3,15,False,0.5890376984126984
42,0,1,3,20,True,0.5928833071690215
42,0,1,3,20,False,0.5936682365253794
42,0,1,3,30,True,0.6000881834215167
42,0,1,3,30,False,0.5833333333333334
42,0,3,0,15,True,0.6246279761904762
42,0,3,0,15,False,0.6409970238095238
42,0,3,0,20,True,0.6453427524856097
42,0,3,0,20,False,0.6276818419675563
42,0,3,0,30,True,0.6491769547325102
42,0,3,0,30,False,0.6191945914168137
42,0,3,1,15,True,0.6231398809523809
42,0,3,1,15,False,0.621155753968254
42,0,3,1,20,True,0.6323914181057039
42,0,3,1,20,False,0.6388016745159603
42,0,3,1,30,True,0.6238977072310405
42,0,3,1,30,False,0.6243386243386243
42,0,3,2,15,True,0.5987103174603174
42,0,3,2,15,False,0.5835813492063492
42,0,3,2,20,True,0.5706436420722135
42,0,3,2,20,False,0.6020408163265306
42,0,3,2,30,True,0.6428571428571429
42,0,3,2,30,False,0.6290417401528513
42,0,3,3,15,True,0.6010664682539683
42,0,3,3,15,False,0.5549355158730159
42,0,3,3,20,True,0.5928833071690215
42,0,3,3,20,False,0.6106750392464678
42,0,3,3,30,True,0.6000881834215167
42,0,3,3,30,False,0.6164021164021164
42,0,5,0,15,True,0.6246279761904762
42,0,5,0,15,False,0.6051587301587301
42,0,5,0,20,True,0.6453427524856097
42,0,5,0,20,False,0.6326530612244898
42,0,5,0,30,True,0.6491769547325102
42,0,5,0,30,False,0.6349206349206349
42,0,5,1,15,True,0.6231398809523809
42,0,5,1,15,False,0.6243799603174603
42,0,5,1,20,True,0.6323914181057039
42,0,5,1,20,False,0.6272893772893773
42,0,5,1,30,True,0.6238977072310405
42,0,5,1,30,False,0.6603468547912993
42,0,5,2,15,True,0.5987103174603174
42,0,5,2,15,False,0.6274801587301587
42,0,5,2,20,True,0.5706436420722135
42,0,5,2,20,False,0.6119832548403977
42,0,5,2,30,True,0.6428571428571429
42,0,5,2,30,False,0.6083186360964139
42,0,5,3,15,True,0.6010664682539683
42,0,5,3,15,False,0.5376984126984127
42,0,5,3,20,True,0.5928833071690215
42,0,5,3,20,False,0.6062271062271062
42,0,5,3,30,True,0.6000881834215167
42,0,5,3,30,False,0.5862727807172252
42,1,1,0,15,True,0.6448643410852714
42,1,1,0,15,False,0.6497093023255814
42,1,1,0,20,True,0.6026066956299514
42,1,1,0,20,False,0.6373626373626373
42,1,1,0,30,True,0.7324145851277635
42,1,1,0,30,False,0.7252368647717485
42,1,1,1,15,True,0.6695736434108527
42,1,1,1,15,False,0.6686046511627907
42,1,1,1,20,True,0.6501405571173013
42,1,1,1,20,False,0.6802964477383082
42,1,1,1,30,True,0.7393051966695378
42,1,1,1,30,False,0.7103072064312375
42,1,1,2,15,True,0.6375968992248062
42,1,1,2,15,False,0.6421996124031008
42,1,1,2,20,True,0.6327625862509584
42,1,1,2,20,False,0.643496038844876
42,1,1,2,30,True,0.6330749354005168
42,1,1,2,30,False,0.6471432672983061
42,1,1,3,15,True,0.6729651162790697
42,1,1,3,15,False,0.6463178294573644
42,1,1,3,20,True,0.6723741374904165
42,1,1,3,20,False,0.6376181957577306
42,1,1,3,30,True,0.7447602641401091
42,1,1,3,30,False,0.6847545219638242
42,1,3,0,15,True,0.6448643410852714
42,1,3,0,15,False,0.6688468992248062
42,1,3,0,20,True,0.6026066956299514
42,1,3,0,20,False,0.6739074878609762
42,1,3,0,30,True,0.7324145851277635
42,1,3,0,30,False,0.7097329888027563
42,1,3,1,15,True,0.6695736434108527
42,1,3,1,15,False,0.6460755813953488
42,1,3,1,20,True,0.6501405571173013
42,1,3,1,20,False,0.6445182724252492
42,1,3,1,30,True,0.7393051966695378
42,1,3,1,30,False,0.6867642836635085
42,1,3,2,15,True,0.6375968992248062
42,1,3,2,15,False,0.65625
42,1,3,2,20,True,0.6327625862509584
42,1,3,2,20,False,0.6360848453871709
42,1,3,2,30,True,0.6330749354005168
42,1,3,2,30,False,0.6830318690783808
42,1,3,3,15,True,0.6729651162790697
42,1,3,3,15,False,0.6351744186046512
42,1,3,3,20,True,0.6723741374904165
42,1,3,3,20,False,0.6756963966266292
42,1,3,3,30,True,0.7447602641401091
42,1,3,3,30,False,0.6554694229112834
42,1,5,0,15,True,0.6448643410852714
42,1,5,0,15,False,0.654312015503876
42,1,5,0,20,True,0.6026066956299514
42,1,5,0,20,False,0.6319959110656785
42,1,5,0,30,True,0.7324145851277635
42,1,5,0,30,False,0.7019810508182601
42,1,5,1,15,True,0.6695736434108527
42,1,5,1,15,False,0.6359011627906976
42,1,5,1,20,True,0.6501405571173013
42,1,5,1,20,False,0.6565295169946332
42,1,5,1,30,True,0.7393051966695378
42,1,5,1,30,False,0.661498708010336
42,1,5,2,15,True,0.6375968992248062
42,1,5,2,15,False,0.6436531007751938
42,1,5,2,20,True,0.6327625862509584
42,1,5,2,20,False,0.6135957066189625
42,1,5,2,30,True,0.6330749354005168
42,1,5,2,30,False,0.6238874533448177
42,1,5,3,15,True,0.6729651162790697
42,1,5,3,15,False,0.5915697674418605
42,1,5,3,20,True,0.6723741374904165
42,1,5,3,20,False,0.6429849220546895
42,1,5,3,30,True,0.7447602641401091
42,1,5,3,30,False,0.7014068331897789
42,2,1,0,15,True,0.5305461711711712
42,2,1,0,15,False,0.5076013513513513
42,2,1,0,20,True,0.5154440154440154
42,2,1,0,20,False,0.5423225423225423
42,2,1,0,30,True,0.541041041041041
42,2,1,0,30,False,0.5675675675675675
42,2,1,1,15,True,0.5574324324324325
42,2,1,1,15,False,0.5274493243243243
42,2,1,1,20,True,0.5383130383130383
42,2,1,1,20,False,0.5078705078705079
42,2,1,1,30,True,0.5795795795795796
42,2,1,1,30,False,0.5924257590924258
42,2,1,2,15,True,0.5187218468468469
42,2,1,2,15,False,0.4601632882882883
42,2,1,2,20,True,0.546926046926047
42,2,1,2,20,False,0.5043065043065043
42,2,1,2,30,True,0.5540540540540541
42,2,1,2,30,False,0.5335335335335335
42,2,1,3,15,True,0.48986486486486486
42,2,1,3,15,False,0.4542511261261261
42,2,1,3,20,True,0.505940005940006
42,2,1,3,20,False,0.45292545292545294
42,2,1,3,30,True,0.5627293960627294
42,2,1,3,30,False,0.4974974974974975
42,2,3,0,15,True,0.5305461711711712
42,2,3,0,15,False,0.5254786036036037
42,2,3,0,20,True,0.5154440154440154
42,2,3,0,20,False,0.5262845262845263
42,2,3,0,30,True,0.541041041041041
42,2,3,0,30,False,0.5637303970637304
42,2,3,1,15,True,0.5574324324324325
42,2,3,1,15,False,0.49169481981981983
42,2,3,1,20,True,0.5383130383130383
42,2,3,1,20,False,0.5359370359370359
42,2,3,1,30,True,0.5795795795795796
42,2,3,1,30,False,0.5680680680680681
42,2,3,2,15,True,0.5187218468468469
42,2,3,2,15,False,0.4740990990990991
42,2,3,2,20,True,0.546926046926047
42,2,3,2,20,False,0.5188595188595189
42,2,3,2,30,True,0.5540540540540541
42,2,3,2,30,False,0.49332665999332664
42,2,3,3,15,True,0.48986486486486486
42,2,3,3,15,False,0.47832207207207206
42,2,3,3,20,True,0.505940005940006
42,2,3,3,20,False,0.45426195426195426
42,2,3,3,30,True,0.5627293960627294
42,2,3,3,30,False,0.4894894894894895
42,2,5,0,15,True,0.5305461711711712
42,2,5,0,15,False,0.4740990990990991
42,2,5,0,20,True,0.5154440154440154
42,2,5,0,20,False,0.5210870210870211
42,2,5,0,30,True,0.541041041041041
42,2,5,0,30,False,0.5630630630630631
42,2,5,1,15,True,0.5574324324324325
42,2,5,1,15,False,0.5190033783783784
42,2,5,1,20,True,0.5383130383130383
42,2,5,1,20,False,0.5429165429165429
42,2,5,1,30,True,0.5795795795795796
42,2,5,1,30,False,0.5638972305638972
42,2,5,2,15,True,0.5187218468468469
42,2,5,2,15,False,0.4594594594594595
42,2,5,2,20,True,0.546926046926047
42,2,5,2,20,False,0.5157410157410157
42,2,5,2,30,True,0.5540540540540541
42,2,5,2,30,False,0.47914581247914584
42,2,5,3,15,True,0.48986486486486486
42,2,5,3,15,False,0.4634009009009009
42,2,5,3,20,True,0.505940005940006
42,2,5,3,20,False,0.4407484407484408
42,2,5,3,30,True,0.5627293960627294
42,2,5,3,30,False,0.49082415749082414
42,3,1,0,15,True,0.6713668699186992
42,3,1,0,15,False,0.6587906504065041
42,3,1,0,20,True,0.648217636022514
42,3,1,0,20,False,0.6529080675422139
42,3,1,0,30,True,0.6609454983438723
42,3,1,0,30,False,0.6504065040650406
42,3,1,1,15,True,0.6294461382113821
42,3,1,1,15,False,0.650660569105691
42,3,1,1,20,True,0.6514339319217368
42,3,1,1,20,False,0.6369606003752345
42,3,1,1,30,True,0.666967780788919
42,3,1,1,30,False,0.6406202950918398
42,3,1,2,15,True,0.6384654471544715
42,3,1,2,15,False,0.6054369918699187
42,3,1,2,20,True,0.6136424551058698
42,3,1,2,20,False,0.6227552934870008
42,3,1,2,30,True,0.6115627822944896
42,3,1,2,30,False,0.6341463414634146
42,3,1,3,15,True,0.6464684959349594
42,3,1,3,15,False,0.593114837398374
42,3,1,3,20,True,0.6309300455641919
42,3,1,3,20,False,0.6329402305012061
42,3,1,3,30,True,0.6586871424269798
42,3,1,3,30,False,0.6049382716049383
42,3,3,0,15,True,0.6713668699186992
42,3,3,0,15,False,0.6209349593495935
