subject,CONTROL_REPLACEMENT_FRAC,smallest_combined_p_mean,smallest_combined_p_std
1,0.0,0.00039988003199198374,0.0
1,0.05,0.00039988003199198374,0.0
1,0.1,0.00039988003199198374,0.0
1,0.15000000000000002,0.00039988003199198374,0.0
1,0.2,0.001039112313510071,0.0013472011673032783
1,0.25,0.0028311674197854186,0.005246015518965777
1,0.30000000000000004,0.0028311674197854186,0.005246015518965777
1,0.35000000000000003,0.015710778758540166,0.015443405750000444
1,0.4,0.030226765540676624,0.02072019861734378
1,0.45,0.07070610711054484,0.066705242807677
