subject,comparison,seed,passed,p_window,p_epoch,D,silhouette_coef,silh_thresh,acc,p_perm,hotelling_T2,F
0,left,0,True,3.88892682750527e-14,4.953132720138471e-05,1.6773255788847157,0.27346253,0.014181875158101319,0.8714285714285713,0.0,408.3331563939969,34.92467556032572
0,right,0,True,0.0004041778440394264,0.03148912236661063,1.662919541663438,0.094349064,0.011249171057716003,0.7871657754010696,0.0,377.5102329948992,32.25169569945469
0,ctrl,0,False,0.019018332508880523,0.24431462056292003,0.6267563903177389,0.027607964,0.016369018610566846,0.5689655172413792,0.109,15.583888524269376,1.316948325994595
1,left,0,True,2.7195054323791657e-05,0.018140782980943543,1.6860936051621396,0.15332198,0.020387668814510092,0.8285714285714285,0.0,228.0400523579737,18.718203768130234
1,right,0,True,0.004032400630287139,0.1086456771614193,1.9251849675585018,0.1021257,0.02560317916795611,0.8163398692810457,0.0,253.63910325816178,20.34538261429105
1,ctrl,0,False,1.0,1.0,0.9654575664624947,-0.028232709,0.061607572063803656,0.28055555555555556,0.984,12.542422632469547,0.8551651794865601
2,left,0,True,1.0,1.0,1.6107211662098502,0.090738215,0.013023474207147915,0.8504926108374384,0.0,261.5102747855932,22.063325995645208
2,right,0,False,0.6268454833778392,0.5771755499618714,1.413003368153561,0.05903016,0.011871672095730899,0.7643010752688172,0.0,151.41728684217824,12.85360472290616
2,ctrl,0,False,0.2907498886034525,0.7103816512796233,1.1277595714496556,0.009502312,0.030718001071363674,0.48888888888888893,0.532,41.70417674356149,3.360460522724996
3,left,0,True,0.030193205683437457,0.1804734549908264,1.6999131837012404,0.09471283,0.011881555803120124,0.8754010695187165,0.0,439.45280379865085,37.54361302989569
3,right,0,True,0.004860441586197991,0.10602900289023402,1.516784006168022,0.06858873,0.010780146298930041,0.806060606060606,0.0,222.291657582038,18.968557507000455
3,ctrl,0,False,0.7397055275006651,1.0,0.7954895650671704,0.0005695073,0.018286859337240436,0.47333333333333333,0.624,28.035952667241016,2.376511958279644
4,left,0,True,1.3953221935818323e-11,7.293288208265017e-05,1.6590455701556246,0.2008348,0.007870310638099893,0.8536507936507937,0.0,392.8479566181949,33.67268199584528
4,right,0,True,0.024748538027643117,0.30146712322675134,1.7681303044584356,0.114432484,0.011411957256495934,0.9166666666666666,0.0,653.5325327297198,56.07429290020068
4,ctrl,0,False,1.0,1.0,0.654291255248824,-0.0034727429,0.013340837508440015,0.4444444444444445,0.868,21.467086335581005,1.841915477210219
0,left,1,True,1.341104660428691e-09,0.0005160715193140973,1.6822475365410356,0.22557507,0.01151045956648885,0.8715966386554623,0.0,416.6503389899015,35.63604297977103
0,right,1,True,0.7601472481525952,1.0,1.591702413152911,0.06759603,0.010468355566263196,0.7743315508021391,0.0,290.49427935753954,24.817693088595927
0,ctrl,1,False,1.0,0.766127930108728,0.7639739747606737,-0.008098632,0.015991887450218182,0.3889162561576355,0.966,24.458496220712128,2.0669151735813065
1,left,1,True,0.01724872825357347,0.29580451709629063,1.7099646512465854,0.10664618,0.016149642691016198,0.7999999999999999,0.0,250.3481029267078,20.5493147150784
1,right,1,True,0.0034943814198941897,0.10864567716141926,1.8394866029556542,0.08008544,0.02008493961766361,0.8052287581699344,0.0,183.81492668315437,14.744512835547141
1,ctrl,1,False,1.0,1.0,1.2947478266539916,-0.03105081,0.06726750321686265,0.28888888888888886,0.986,30.091206626381087,2.0516731790714378
2,left,1,True,0.002363742450859507,0.08198022143535164,1.5673611405201378,0.1451208,0.010246357321739187,0.8216748768472906,0.0,225.12404058937054,18.99346058602276
2,right,1,False,0.6275669967056685,1.0,1.3296094552254991,0.057017755,0.01355220787227152,0.7320430107526883,0.0,120.2576192071941,10.208503496817801
2,ctrl,1,False,0.005708969222880253,0.06043294142402481,1.0951273957202243,0.11877255,0.03016143506392833,0.6555555555555556,0.006,38.29069130134431,3.0854069437033638
3,left,1,True,2.846940152421125e-06,0.00017963497174318938,1.7082135953410482,0.15116394,0.009997693775221686,0.8581105169340463,0.0,455.56172328322384,38.91984054336414
3,right,1,False,0.012535709141259621,0.28473151395405094,1.4809379833154033,0.080502294,0.011660021916031828,0.8121212121212121,0.0,199.2192916848157,16.99974993183313
3,ctrl,1,False,0.8702533628464195,0.3961039594506548,0.8646689743504143,-0.00550005,0.01855912841856479,0.44666666666666666,0.812,34.303624588972134,2.907801101522208
4,left,1,True,0.2303461743381659,0.6058071732731876,1.6978155273220403,0.07609473,0.010790973575785751,0.8757142857142857,0.0,460.2798798959131,39.452561133935404
4,right,1,True,2.1005506006549295e-13,5.919338559026343e-06,1.7745156201190262,0.23792072,0.010662371851503845,0.9111111111111111,0.0,676.2271470938051,58.021532539202894
4,ctrl,1,False,1.0,1.0,0.6963272513846844,0.010835616,0.01614394402131438,0.55,0.185,24.709282999752062,2.1201019121339866
0,left,2,True,2.4515948946298713e-08,0.007910844910408492,1.7249393823296486,0.17333974,0.011895216302946203,0.8830252100840335,0.0,501.63356114201474,42.90464562753112
0,right,2,True,0.0006083589280914937,0.0588437112559304,1.6655018786569202,0.115304366,0.009146640775725244,0.8454545454545455,0.0,381.37927432769993,32.58223811342891
0,ctrl,2,False,0.09495657034586356,1.0,0.8233528761173612,0.024181196,0.017795999813824865,0.5475369458128079,0.21,29.221058968125206,2.469385264911989
1,left,2,True,9.983956352778797e-07,0.0014951403890947402,1.7093632231515636,0.17589669,0.01589767355471849,0.8857142857142856,0.0,249.7450104049599,20.49981109237535
1,right,2,True,0.00769541475437913,0.21475928702315505,1.9643114342289791,0.11128244,0.024469012860208708,0.8960784313725491,0.0,300.9231872467484,24.138223575942387
1,ctrl,2,False,0.7442115057894108,1.0,1.1564462585696647,0.040809076,0.05303498413413759,0.5027777777777778,0.451,20.83618650317106,1.420649079761663
2,left,2,True,0.736865241336291,1.0,1.6346608760384653,0.08620039,0.013442395115271188,0.9,0.0,285.4225193309688,24.080775012226926
2,right,2,False,0.25518166887239896,0.7795012896649303,1.4300560245447576,0.057579987,0.013734807167202228,0.672258064516129,0.0,158.96480559479332,13.49430318414561
2,ctrl,2,False,0.6707967534170194,1.0,0.7113620485656117,-0.0028594017,0.025399402063339935,0.4666666666666666,0.676,12.909381006877815,1.0402187174963529
3,left,2,True,1.3025333392415843e-07,0.00048030714945571914,1.7314693085637691,0.1638783,0.010162103828042734,0.9110516934046347,0.0,506.12670249850106,43.23974019154773
3,right,2,True,0.02968656990677318,0.18110185498042064,1.5244777751428165,0.060001213,0.009279685700312248,0.8,0.0,227.71074606773564,19.430978331491108
3,ctrl,2,False,0.36747965360103707,1.0,0.8981699806145261,-0.007170749,0.016038549784570907,0.4533333333333333,0.721,37.70352554858108,3.195999094412892
4,left,2,True,0.0015602371247128767,0.06920580631231707,1.702524737961465,0.1357739,0.009350275574251993,0.881111111111111,0.0,469.69930247546097,40.25994021218237
4,right,2,True,0.3687420114006233,0.6058071732731874,1.7165122750642288,0.1000794,0.009933107020333407,0.8555555555555555,0.0,508.5126720965925,43.631322222792406
4,ctrl,2,False,0.1000248514136265,0.30146712322675134,0.8426455660377125,0.022317205,0.015227870596572721,0.5333333333333333,0.241,38.67795715523476,3.3186398376299486
0,left,3,True,6.631766445480111e-14,3.9618668569628146e-05,1.6389042196375032,0.22227237,0.011565294954925762,0.8302521008403361,0.0,351.39043128956456,30.05437255246948
0,right,3,True,7.080414915547779e-07,0.0037691010836504073,1.682957302863632,0.13872491,0.010901442542672146,0.8454545454545455,0.0,409.2258815256672,34.96124727163422
0,ctrl,3,False,1.0,1.0,0.583916466957893,-0.006609626,0.019874260853976,0.5219211822660098,0.27,13.333120798533688,1.1267426026929876
1,left,3,True,0.0013063622236731032,0.08580226016024245,1.7108805338493382,0.11054653,0.019447622355073687,0.8666666666666666,0.0,251.27055197733776,20.62503206874882
1,right,3,True,1.0,1.0,1.6551928482330112,0.034675922,0.0220455761067569,0.7836601307189544,0.0,105.43132588262873,8.45705822587931
1,ctrl,3,False,1.0,1.0,1.1543541830772832,-0.0021175952,0.04957440383732315,0.4527777777777778,0.593,20.72183558470606,1.4128524262299587
2,left,3,True,0.043297555041843634,0.38680933925732536,1.6091099548357128,0.115569636,0.012677124422043549,0.8357142857142857,0.0,260.0092712104838,21.936688022336433
2,right,3,False,0.7469994601355863,1.0,1.3622102923836075,0.057964638,0.01331612681969997,0.7647311827956991,0.0,131.42271460675647,11.156293052108767
2,ctrl,3,False,0.29170752932711086,0.46213735237644327,0.8710465404303899,-0.012905937,0.02953525744378566,0.35555555555555557,0.964,20.885531706712584,1.6829250755408902
3,left,3,True,0.00011387541679342724,0.018352094207934995,1.6189205412927747,0.11303636,0.009773186733946202,0.8340463458110516,0.0,319.8187056720448,27.322956234851585
3,right,3,False,0.0030116714128903665,0.10780874722857894,1.4867826542145557,0.07415371,0.010167053341865538,0.806060606060606,0.0,202.75472869263706,17.301435298367803
3,ctrl,3,False,0.070023720774926,0.39306375055086407,0.8222331398857555,0.023587627,0.017517084535211305,0.5133333333333333,0.379,30.34573977508132,2.572304722949154
4,left,3,True,4.446445441514738e-08,0.0016942218562003228,1.7177013774566792,0.1816892,0.010886795725673436,0.882063492063492,0.0,502.25085531438157,43.050073312661276
4,right,3,True,0.00029811212177669106,0.11537019209732839,1.765643058887406,0.1641392,0.009668152034282678,0.9111111111111111,0.0,645.0380557688018,55.345451158916596
