subject,fraction,comparison,passed,total,proportion,p_value
0,0.0,min,20,20,1.000,9.54e-07
0,0.05,min,20,20,1.000,9.54e-07
0,0.1,min,20,20,1.000,9.54e-07
0,0.15,min,20,20,1.000,9.54e-07
0,0.2,min,20,20,1.000,9.54e-07
0,0.25,min,19,20,0.950,2e-05
0,0.3,min,20,20,1.000,9.54e-07
0,0.35,min,18,20,0.400,0.868
0,0.4,min,16,20,0.150,1
0,0.45,min,8,20,0.150,1
1,0.0,min,20,20,1.000,9.54e-07
1,0.05,min,20,20,1.000,9.54e-07
1,0.1,min,20,20,1.000,9.54e-07
1,0.15,min,20,20,1.000,9.54e-07
1,0.2,min,20,20,1.000,9.54e-07
1,0.25,min,20,20,1.000,9.54e-07
1,0.3,min,20,20,1.000,9.54e-07
1,0.35,min,20,20,1.000,9.54e-07
1,0.4,min,16,20,0.800,0.00591
1,0.45,min,17,20,0.850,0.00129
2,0.0,min,20,20,1.000,9.54e-07
2,0.05,min,20,20,1.000,9.54e-07
2,0.1,min,20,20,1.000,9.54e-07
2,0.15,min,20,20,1.000,9.54e-07
2,0.2,min,20,20,0.800,0.00591
2,0.25,min,18,20,0.050,1
2,0.3,min,16,20,0.050,1
2,0.35,min,16,20,0.050,1
2,0.4,min,13,20,0.000,1
2,0.45,min,8,20,0.900,0.000201
3,0.0,min,20,20,1.000,9.54e-07
3,0.05,min,20,20,1.000,9.54e-07
3,0.1,min,20,20,1.000,9.54e-07
3,0.15,min,20,20,1.000,9.54e-07
3,0.2,min,20,20,1.000,9.54e-07
3,0.25,min,20,20,1.000,9.54e-07
3,0.3,min,18,20,0.900,0.000201
3,0.35,min,17,20,0.350,0.942
3,0.4,min,16,20,0.250,0.994
3,0.45,min,10,20,0.000,1
4,0.0,min,20,20,1.000,9.54e-07
4,0.05,min,20,20,1.000,9.54e-07
4,0.1,min,20,20,1.000,9.54e-07
4,0.15,min,20,20,1.000,9.54e-07
4,0.2,min,20,20,1.000,9.54e-07
4,0.25,min,19,20,0.950,2e-05
4,0.3,min,20,20,1.000,9.54e-07
4,0.35,min,20,20,1.000,9.54e-07
4,0.4,min,18,20,0.900,0.000201
4,0.45,min,16,20,0.800,0.00591
